
Date,Orders,Unique Customers,Units Sold,Gross Sales,Shipping Revenue,Coupon Discounts,Amazon Fees,Product Costs,Net Profit
2025-01-01,32,32,90,4889.77,207.99,21.85,971.12,2077.17,1819.62
2025-01-02,36,36,96,4972.16,231.16,26.48,990.58,2519.63,1435.47
2025-01-03,73,73,205,9825.29,404.94,102.72,2000.86,4654.32,3067.4
2025-01-04,41,41,98,5130.56,324.75,63.76,1030.67,2400.23,1635.91
2025-01-05,44,44,106,5568.8,290.83,38.01,1110.14,2507.41,1913.24
2025-01-06,59,59,176,9520,398.19,76.52,1888.17,4210.95,3344.35
2025-01-07,30,30,69,3671.35,116.31,67.24,758.09,1652.76,1193.26
2025-01-08,33,33,76,3994.76,203.96,42.57,809.22,1754.02,1388.94
2025-01-09,34,34,72,3951.52,170.48,54.09,802.75,1815.56,1279.12
2025-01-10,23,23,62,3668.6,163.86,27.04,697.75,1558.88,1384.95
2025-01-11,40,39,99,5613.62,227.37,60.28,1096.68,2162.3,2294.33
2025-01-12,56,56,143,7360.95,337.38,86.23,1471.73,3128.14,2674.85
2025-01-13,28,28,87,4824.28,178.06,38.84,932.81,2182.23,1670.4
2025-01-14,79,79,224,11752.01,498.92,157.39,2296.52,5288.05,4010.05
2025-01-15,31,31,83,4417.38,162.41,22.98,879.71,1812.87,1701.81
2025-01-16,22,22,63,3059.84,143.63,35.2,628.26,1501.43,894.94
2025-01-17,61,61,153,8402.49,266.58,102.95,1653.07,3557.96,3088.52
2025-01-18,45,45,111,5675.84,272.96,115.73,1154,2722.39,1683.73
2025-01-19,50,50,130,7414.15,291.18,58.19,1432.57,3145.7,2777.71
2025-01-20,25,25,57,2764.26,127.84,12.99,553.08,1327.38,870.81
2025-01-21,71,70,174,9422.4,448.88,94.24,1886.04,4215.84,3226.28
2025-01-22,27,27,85,4452.05,123.86,43.29,876.61,2144.1,1388.06
2025-01-23,23,23,52,2743.56,169.7,16.61,571.97,1170.05,984.94
2025-01-24,27,27,57,2916.34,128.36,80.67,588.89,1460.32,786.47
2025-01-25,41,41,103,5169.94,283.01,57.09,1031.37,2473.02,1608.45
2025-01-26,34,34,79,3872.66,214.95,17.74,791.34,1878.31,1185.27
2025-01-27,27,27,67,3819.79,163.96,11.69,736.01,1466.49,1605.6
2025-01-28,29,29,73,3763.56,219.63,39.17,754.63,1756.67,1213.09
2025-01-29,28,28,73,3815.55,166.24,33.68,768.02,1627.24,1386.61
2025-01-30,28,28,83,4088.25,170.95,27.9,820.94,1915.65,1323.77
2025-01-31,36,36,91,5263.66,153.04,78.98,1037.9,2082.35,2064.44
